symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
LPB,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,Ngân hàng,HOSE,46.1,139655.0,12.07,2.92,24.18,-6.3,18.69,8.65,False,True,36.25,0.4,32.52,130075532750.0,-17.68,20.9,31.2,92.0,81.4,72.8,71.3
MBB,Ngân hàng Thương mại cổ phần Quân đội,Ngân hàng,HOSE,20.2,212652.0,6.08,1.2,19.64,1.7,-2.81,-8.29,True,False,36.92,0.82,27.0,255586828000.0,-13.03,12.01,70.3,83.2,71.8,87.7,74.0
MBS,Công ty cổ phần Chứng khoán MB,Ngân hàng,HNX,16.7,20319.0,9.71,1.36,14.02,-14.69,-6.94,-33.42,False,False,31.03,1.19,40.27,57835976580.0,-38.31,1.83,50.5,59.3,48.3,53.5,49.5
MCH,Công ty Cổ phần Hàng tiêu dùng Masan,Khác,HOSE,143.0,183037.0,22.59,8.34,36.93,12.93,-6.38,38.14,True,False,54.9,0.52,33.44,97185230000.0,-20.2,40.21,12.0,98.2,75.3,64.9,58.2
MIG,Tổng Công ty cổ phần Bảo hiểm Quân đội,Bảo hiểm,HOSE,15.9,3786.0,12.05,1.25,10.41,-4.08,-4.9,-4.63,False,False,51.47,0.46,31.13,1611725845.0,-16.85,11.06,49.6,42.5,65.1,8.8,42.2
MSN,Công ty Cổ phần Tập đoàn MaSan,Thực phẩm đồ uống,HOSE,67.7,114950.0,23.75,2.76,11.62,-5.31,-5.05,-22.0,True,False,31.88,0.82,28.03,289407455000.0,-23.24,5.95,17.3,48.7,63.9,89.5,48.8
MWG,Công ty cổ phần Đầu tư Thế giới Di động,Bán lẻ,HOSE,71.7,128340.0,15.03,3.24,21.56,-5.68,-8.64,-9.32,False,False,35.0,1.13,34.82,189973939500.0,-22.29,15.03,22.7,88.5,56.8,83.3,56.7
NKG,Công ty Cổ phần Thép Nam Kim,Thép,HOSE,9.98,6624.0,22.68,0.59,2.58,-17.86,-20.16,-43.7,False,False,11.94,0.8,31.67,15776800150.0,-44.83,0.91,56.3,8.0,28.9,35.1,29.7
NLG,Công ty cổ phần Đầu tư Nam Long,BĐS dân dụng,HOSE,24.1,14044.0,16.62,0.77,4.64,-9.4,-11.32,-35.4,True,False,46.74,0.96,39.55,50407636500.0,-38.44,20.5,54.6,14.2,47.9,50.9,39.2
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Điện/Nước,HOSE,20.6,7542.0,5.94,1.25,21.12,-11.02,-20.62,-6.03,False,False,40.91,0.65,30.25,10222814750.0,-28.72,1.73,68.3,86.7,34.4,26.3,52.0
NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,BĐS dân dụng,HOSE,12.65,37875.0,14.21,0.52,3.66,-2.32,1.11,-13.38,False,False,40.38,0.89,47.44,161103481000.0,-33.66,29.52,67.4,9.7,74.0,79.8,54.8
PAN,Công ty Cổ phần Tập đoàn PAN,Khác,HOSE,18.45,6789.0,5.73,0.72,12.59,-18.9,-13.76,-29.79,False,False,25.93,0.5,27.69,8124234250.0,-29.79,1.37,85.1,54.0,32.8,23.7,47.9
