symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
VIC,Tập đoàn Vingroup - Công ty Cổ phần,Khác,HOSE,255.0,1441028.0,172.3,13.25,7.69,23.19,54.73,292.01,True,True,76.51,1.63,52.49,1311758200525.0,0.0,308.0,0.9,28.9,99.1,100.0,57.9
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Khác,HOSE,9.71,801.0,7.77,0.52,6.69,-6.68,-18.48,-19.1,False,False,39.62,0.39,19.98,473324623.0,-24.28,1.25,85.9,21.1,47.5,2.6,40.8
VIX,Công ty cổ phần Chứng khoán VIX,Chứng khoán,HOSE,14.05,42758.0,3.98,0.66,16.64,-16.89,-14.75,-54.51,True,False,56.5,1.47,49.9,559004546520.0,-55.89,25.55,93.4,73.7,36.2,98.3,69.4
VJC,Công ty cổ phần Hàng không Vietjet,Hàng không,HOSE,125.2,104183.0,33.57,2.88,8.58,-11.83,4.07,12.25,False,False,39.67,0.66,39.51,169307917900.0,-25.71,27.16,11.4,33.3,64.3,80.0,41.9
VND,Công ty cổ phần Chứng khoán VNDIRECT,Chứng khoán,HOSE,16.4,25270.0,14.91,1.19,8.01,-6.82,-10.72,-31.54,False,False,43.33,1.14,40.2,159576781695.0,-37.04,18.0,49.5,31.6,59.1,79.1,50.4
VNM,Công ty Cổ phần Sữa Việt Nam,Thực phẩm đồ uống,HOSE,61.7,129159.0,13.71,4.2,30.65,9.11,0.82,9.36,True,True,49.23,0.47,29.76,243085250000.0,-13.19,15.85,26.1,96.5,85.6,88.7,75.1
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng,HOSE,27.4,224927.0,9.07,1.29,14.27,3.59,3.29,-17.98,True,True,65.74,1.2,35.21,417436618125.0,-20.32,16.2,59.3,59.6,85.7,93.9,76.5
VPG,Công ty Cổ phần Tập đoàn Việt Phát,Khác,HOSE,1.76,320.0,,0.16,-63.52,-40.14,-64.23,-80.02,False,False,31.82,0.67,43.77,350695885.0,-80.91,3.53,75.0,0.9,1.2,1.7,18.9
VPI,Công ty cổ phần Phát triển Bất động sản Văn Phú,Khác,HOSE,69.2,19555.0,56.72,4.22,7.44,16.89,19.72,20.98,True,True,92.04,0.51,27.31,141553571000.0,0.0,33.08,5.7,28.1,95.0,75.7,53.4
VRE,Công ty Cổ phần Vincom Retail,BĐS dân dụng,HOSE,26.7,66465.0,9.4,1.25,13.34,-11.39,2.39,-9.95,True,False,62.38,1.68,51.53,138539793270.0,-36.3,25.35,59.9,56.1,62.6,74.8,59.5
VSC,Công ty cổ phần Container Việt Nam,Vận tải/Cảng,HOSE,14.45,8835.0,20.64,0.99,4.81,-25.9,-43.77,-53.61,False,False,43.75,1.22,48.98,158225194410.0,-55.95,13.78,46.6,14.9,2.6,78.3,28.5
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,Khác,HOSE,41.15,10229.0,11.27,1.96,17.42,-0.39,-0.74,-3.81,False,False,32.28,0.0,13.27,317340915.0,-3.91,5.9,42.4,76.3,76.5,0.9,50.3
VTP,Tổng Công ty cổ phần Bưu chính Viettel,Khác,HOSE,51.3,12295.0,15.45,2.74,17.74,-8.09,-18.65,-17.56,False,False,33.63,0.61,39.32,42591898500.0,-36.51,14.51,26.5,78.9,44.3,49.6,45.6
